produto_id,produto_nome,categoria,marca,peso_gramas,preco_lista_base,custo_base_unitario,fornecedor_id,data_lancamento,data_fim,status_produto,popularidade_base,sensibilidade_promocao,fator_sazonal_proprio,codigo_barra_legacy,observacao_interna
P024,Croissant manteiga 1500g,Pastelaria,Doce Norte,1500,7.5,3.95,F005,15/10/2023,,Ativo,1.82,0.997,1.042,56000595745,
P025,Pastel de nata cru 1200g,Pastelaria,Doce Norte,1200,6.9,3.65,F005,19/01/2022,,Ativo,0.852,0.967,1.005,56000616042,
P026,Gelado baunilha 2L 2kg,Sobremesas,PT Frozen Foods,2000,5.9,2.95,F001,25/04/2022,,Ativo,0.599,1.2,0.7,56000151954,sku antigo
P027,Gelado chocolate 2L 2kg,Sobremesas,Atlântico Select,2000,5.9,2.92,F001,01-01-2023,,Ativo,0.525,0.855,1.131,56000288266,rever ficha
P028,Gelado morango 2L 2kg,Sobremesas,PT Frozen Foods,2000,5.9,2.9,F001,2021-02-07,2023-03-20,Inativo,0.21,1.314,0.89,56000165623,rever ficha
P029,Tarte de maçã 1200g,Sobremesas,Doce Norte,1200,7.9,4.05,F005,2021-11-08,,Ativo,0.676,0.93,0.736,56000981213,
P030,Tarte de amêndoa 1200g,Sobremesas,Padaria Premium,1200,8.2,4.3,F005,2021-04-27,04/09/2022,Inativo,2.576,0.973,0.833,56000792771,sku antigo
P031,Sumo de laranja 1L 1kg,Bebidas,Mesa Pronta,1000,1.8,0.92,F006,2023-04-19,,Ativo,1.202,0.763,1.174,56000591796,sku antigo
P032,"Ice tea limão 1,5L 1500g",Bebidas,Chef Express,1500,1.7,0.86,F006,13/11/2021,2024-03-20,Inativo,4.243,0.929,1.064,56000712777,rever ficha
P033,Smoothie frutos vermelhos 750g,Bebidas,Chef Express,750,3.4,1.72,F006,15-10-2021,,Ativo,1.53,0.852,1.321,56000248924,
P034,Arroz agulha 1kg 1kg,Conservas & Secos,Horta Fácil,1000,1.3,0.74,F004,18/02/2022,,Ativo,0.826,1.286,0.84,56000989415,sku antigo
P035,Ervilhas em lata 400g,Conservas & Secos,Campo Verde,400,0.9,0.45,F004,12/09/2022,,Ativo,1.511,0.676,0.782,56000565517,rever ficha
P036,Atum em óleo 120g,Conservas & Secos,Mar Azul,120,1.1,0.58,F003,08-09-2023,,Ativo,0.431,0.893,0.902,56000564949,
